date,type,code,name,buyShares,buyPrice,sellShares,sellPrice,fee,tax,amount,cost,spend,income,note,person
2026/1/6,賣,00885,富邦越南,0,0,1000,18.30,20,55,18300,75,0,18225,,alex
2026/1/7,買,8422,可寧衛,1000,32.70,0,0,28,0,32700,28,32728,0,,alex
2026/1/7,賣,8422,可寧衛,0,0,1000,34.90,30,105,34900,135,0,34765,,alex
2026/1/8,賣,00885,富邦越南,0,0,1000,18.90,20,57,18900,77,0,18823,,alex
2026/1/8,買,2498,宏達電,1000,47.35,0,0,40,0,47350,40,47390,0,,alex
2026/1/8,賣,9907,統一實,0,0,1000,18.70,20,56,18700,76,0,18624,,alex
2026/1/12,買,2498,宏達電,1000,46.35,0,0,40,0,46350,40,46390,0,,alex
2026/1/13,賣,00885,富邦越南,0,0,1000,19.10,20,57,19100,77,0,19023,,alex
2026/1/13,買,2498,宏達電,1000,45.35,0,0,39,0,45350,39,45389,0,,alex
2026/1/19,買,3491,昇達科,100,917.00,0,0,78,0,91700,78,91778,0,,alex
2026/1/20,買,3491,昇達科,100,899.00,0,0,77,0,89900,77,89977,0,,alex
2026/1/22,賣,2498,宏達電,0,0,1000,48.00,41,144,48000,185,0,47815,,alex
2026/1/26,買,8422,可寧衛,2000,39.80,0,0,68,0,79600,68,79668,0,,alex
2026/1/27,買,3491,昇達科,100,1090.00,0,0,93,0,109000,93,109093,0,,alex
2026/1/27,買,3491,昇達科,100,1090.00,0,0,93,0,109000,93,109093,0,,alex
2026/2/5,賣,6770,力積電,0,0,1000,64.20,55,193,64200,247,0,63953,,alex
2026/2/5,賣,3491,昇達科,0,0,200,1355.00,232,813,271000,1045,0,269955,,alex
2026/2/10,賣,00885,富邦越南,0,0,2000,17.60,30,106,35200,136,0,35064,,alex
2026/2/10,賣,3491,昇達科,0,0,200,1300.00,222,780,260000,1002,0,258998,,alex
2026/2/24,賣,6770,力積電,0,0,1000,73.70,63,221,73700,284,0,73416,,alex
2026/3/4,買,3491,昇達科,100,1530.00,0,0,131,0,153000,131,153131,0,,alex
2026/3/6,賣,3491,昇達科,0,0,100,1300.00,111,390,130000,501,0,129499,,alex
2026/3/9,買,1504,東元,1000,68.10,0,0,58,0,68100,58,68158,0,,alex
2026/3/9,買,2330,台積電,100,1800.00,0,0,154,0,180000,154,180154,0,,alex
2026/3/9,買,3691,碩禾,1000,111.50,0,0,95,0,111500,95,111595,0,,alex
2026/3/9,買,6770,力積電,1000,58.90,0,0,50,0,58900,50,58950,0,,alex
2026/3/10,買,3491,昇達科,100,1260.00,0,0,108,0,126000,108,126108,0,,alex
2026/3/10,賣,6770,力積電,0,0,1000,63.80,55,191,63800,246,0,63554,,alex
2026/3/10,賣,1504,東元,0,0,1000,70.30,60,211,70300,271,0,70029,,alex
2026/3/11,買,2891,中信金,2000,51.60,0,0,88,0,103200,88,103288,0,,alex
2026/3/12,買,2317,鴻海,1000,216.50,0,0,185,0,216500,185,216685,0,,alex
2026/3/12,賣,2330,台積電,0,0,100,1895.00,162,569,189500,731,0,188769,,alex
2026/3/12,賣,3691,碩禾,0,0,1000,117.50,100,353,117500,453,0,117047,,alex
2026/3/12,賣,3691,碩禾,0,0,1000,115.50,99,347,115500,445,0,115055,,alex
2026/3/12,賣,6770,力積電,0,0,1000,64.80,55,194,64800,250,0,64550,,alex
2026/3/13,買,6770,力積電,1000,63.90,0,0,55,0,63900,55,63955,0,,alex
2026/3/17,買,2317,鴻海,1000,214.00,0,0,183,0,214000,183,214183,0,,alex
2026/3/17,賣,3691,碩禾,0,0,1000,120.00,103,360,120000,463,0,119537,,alex
2026/3/17,賣,2891,中信金,0,0,2000,53.20,91,319,106400,410,0,105990,,alex
2026/3/19,買,2317,鴻海,1000,205.00,0,0,175,0,205000,175,205175,0,,alex
2026/3/23,買,2317,鴻海,1000,196.00,0,0,168,0,196000,168,196168,0,,alex
2026/3/24,買,8422,可寧衛,2000,29.15,0,0,50,0,58300,50,58350,0,,alex
2021/5/3,買,6770,力積電,1000,68.10,0,0,58,0,68100,58,68158,0,,mark
2021/10/4,買,6770,力積電,1000,64.00,0,0,55,0,64000,55,64055,0,,mark
2022/2/18,買,6770,力積電,1000,59.00,0,0,50,0,59000,50,59050,0,,mark
2022/2/22,買,6770,力積電,1000,57.50,0,0,49,0,57500,49,57549,0,,mark
2022/2/24,賣,6770,力積電,0,0,1000,73.70,63,221,73700,284,0,73416,,mark
2022/3/17,賣,6770,力積電,0,0,1000,71.70,61,215,71700,276,0,71424,,mark
2023/3/28,買,2498,宏達電,1000,62.00,0,0,53,0,62000,53,62053,0,,mark
2026/1/19,買,3491,昇達科,200,915.00,0,0,266,0,183000,266,183266,0,,mark
2026/1/27,買,3491,昇達科,100,1090.00,0,0,93,0,109000,93,109093,0,,mark
2026/3/4,賣,3491,昇達科,0,0,100,1895.00,162,569,189500,731,0,188769,,mark
2026/3/4,買,3491,昇達科,100,1530.00,0,0,131,0,153000,131,153131,0,,mark
2026/3/17,買,2317,鴻海,500,214.00,0,0,91,0,107000,91,107091,0,,mark
