date,type,code,name,buyShares,buyPrice,sellShares,sellPrice,fee,tax,amount,cost,spend,income,note,person
2022/12/30,買,1519,華城,1000,48.55,0,0,42,0,48550,42,48592,0,,alex
2023/1/3,賣,1519,華城,0,0,1000,52.40,45,157,52400,202,0,52198,,alex
2023/1/4,賣,1519,華城,0,0,1000,55.10,47,165,55100,212,0,54888,,alex
2023/1/9,賣,2727,王品,0,0,1000,167.50,143,503,167500,646,0,166854,,alex
2023/1/11,賣,5876,上海商銀,0,0,1000,46.30,40,139,46300,178,0,46122,,alex
2023/1/12,買,1519,華城,1000,51.00,0,0,44,0,51000,44,51044,0,,alex
2023/1/30,賣,1519,華城,0,0,1000,54.50,47,164,54500,210,0,54290,,alex
2023/1/30,買,1218,泰山,1000,30.85,0,0,26,0,30850,26,30876,0,,alex
2023/1/31,賣,1519,華城,0,0,1000,56.60,48,170,56600,218,0,56382,,alex
2023/2/1,賣,2727,王品,0,0,1000,197.00,168,591,197000,759,0,196241,,alex
2023/2/1,買,9907,統一實,1000,17.70,0,0,20,0,17700,20,17720,0,,alex
2023/2/6,買,9907,統一實,1000,17.90,0,0,20,0,17900,20,17920,0,,alex
2023/2/8,賣,2727,王品,0,0,1000,201.00,172,603,201000,775,0,200225,,alex
2023/2/9,買,6770,力積電,1000,34.30,0,0,29,0,34300,29,34329,0,,alex
2023/2/14,賣,2727,王品,0,0,1000,213.00,182,639,213000,821,0,212179,,alex
2023/2/15,買,9907,統一實,1000,17.40,0,0,20,0,17400,20,17420,0,,alex
2023/2/20,買,1519,華城,1000,58.00,0,0,50,0,58000,50,58050,0,,alex
2023/2/21,賣,1519,華城,0,0,1000,60.20,51,181,60200,232,0,59968,,alex
2023/2/21,賣,1519,華城,0,0,1000,64.20,55,193,64200,247,0,63953,,alex
2023/2/21,賣,1519,華城,0,0,1000,64.40,55,193,64400,248,0,64152,,alex
2023/2/21,買,9907,統一實,1000,17.50,0,0,20,0,17500,20,17520,0,,alex
2023/2/22,買,2303,聯電,1000,49.45,0,0,42,0,49450,42,49492,0,,alex
2023/2/24,買,2618,長榮航,1000,28.35,0,0,24,0,28350,24,28374,0,,alex
